y,lambda_true,mean_hat,bias,sd,rmse
-3.000000,-3.000000,-3.029289,-0.029289,0.211932,0.213946
-2.877551,-2.877551,-2.905319,-0.027768,0.202974,0.204865
-2.755102,-2.755102,-2.779464,-0.024362,0.194031,0.195555
-2.632653,-2.632653,-2.658514,-0.025861,0.183755,0.185566
-2.510204,-2.510204,-2.532592,-0.022388,0.171238,0.172696
-2.387755,-2.387755,-2.409645,-0.021890,0.162238,0.163708
-2.265306,-2.265306,-2.290748,-0.025442,0.150735,0.152867
-2.142857,-2.142857,-2.164469,-0.021612,0.138896,0.140567
-2.020408,-2.020408,-2.043183,-0.022775,0.130326,0.132301
-1.897959,-1.897959,-1.919524,-0.021565,0.124437,0.126291
-1.775510,-1.775510,-1.798982,-0.023472,0.118239,0.120546
-1.653061,-1.653061,-1.678191,-0.025130,0.112680,0.115448
-1.530612,-1.530612,-1.556624,-0.026012,0.108318,0.111397
-1.408163,-1.408163,-1.431276,-0.023113,0.101495,0.104093
-1.285714,-1.285714,-1.312496,-0.026782,0.094931,0.098637
-1.163265,-1.163265,-1.190065,-0.026800,0.089872,0.093783
-1.040816,-1.040816,-1.060870,-0.020054,0.082406,0.084811
-0.918367,-0.918367,-0.932306,-0.013938,0.070894,0.072251
-0.795918,-0.795918,-0.809628,-0.013710,0.066199,0.067603
-0.673469,-0.673469,-0.686000,-0.012531,0.060404,0.061690
-0.551020,-0.551020,-0.564827,-0.013806,0.056733,0.058389
-0.428571,-0.428571,-0.439264,-0.010692,0.051389,0.052489
-0.306122,-0.306122,-0.317143,-0.011020,0.046994,0.048269
-0.183673,-0.183673,-0.193327,-0.009653,0.042003,0.043098
-0.061224,-0.061224,-0.074267,-0.013043,0.032304,0.034838
0.061224,0.061224,0.063290,0.002065,0.022267,0.022363
0.183673,0.183673,0.183041,-0.000633,0.033997,0.034003
0.306122,0.306122,0.306164,0.000042,0.040595,0.040595
0.428571,0.428571,0.428424,-0.000148,0.045720,0.045720
0.551020,0.551020,0.550001,-0.001020,0.052885,0.052895
0.673469,0.673469,0.672716,-0.000753,0.057881,0.057886
0.795918,0.795918,0.796919,0.001000,0.063482,0.063490
0.918367,0.918367,0.920131,0.001763,0.066949,0.066973
1.040816,1.040816,1.047578,0.006762,0.077212,0.077507
1.163265,1.163265,1.177941,0.014676,0.080358,0.081687
1.285714,1.285714,1.298942,0.013227,0.086349,0.087356
1.408163,1.408163,1.422343,0.014180,0.094224,0.095285
1.530612,1.530612,1.545884,0.015272,0.098204,0.099384
1.653061,1.653061,1.672625,0.019563,0.103421,0.105255
1.775510,1.775510,1.795121,0.019610,0.108690,0.110445
1.897959,1.897959,1.916499,0.018539,0.112300,0.113820
2.020408,2.020408,2.039608,0.019200,0.120751,0.122268
2.142857,2.142857,2.169746,0.026889,0.131516,0.134237
2.265306,2.265306,2.296243,0.030937,0.143540,0.146836
2.387755,2.387755,2.424638,0.036883,0.152897,0.157283
2.510204,2.510204,2.544647,0.034443,0.160052,0.163716
2.632653,2.632653,2.669609,0.036956,0.173664,0.177552
2.755102,2.755102,2.795452,0.040350,0.182176,0.186591
2.877551,2.877551,2.918897,0.041346,0.192798,0.197182
3.000000,3.000000,3.043369,0.043369,0.205431,0.209959
