y,lambda_true,mean_hat,bias,sd,rmse
-3.000000,-3.000000,-2.974391,0.025609,0.145882,0.148113
-2.877551,-2.877551,-2.853485,0.024066,0.136768,0.138869
-2.755102,-2.755102,-2.731900,0.023202,0.127725,0.129816
-2.632653,-2.632653,-2.610821,0.021833,0.119765,0.121739
-2.510204,-2.510204,-2.489465,0.020739,0.112216,0.114117
-2.387755,-2.387755,-2.368752,0.019004,0.105549,0.107246
-2.265306,-2.265306,-2.248214,0.017093,0.099278,0.100738
-2.142857,-2.142857,-2.127523,0.015335,0.093258,0.094511
-2.020408,-2.020408,-2.007515,0.012893,0.088073,0.089011
-1.897959,-1.897959,-1.887476,0.010483,0.083125,0.083783
-1.775510,-1.775510,-1.767732,0.007778,0.078855,0.079238
-1.653061,-1.653061,-1.647704,0.005358,0.074662,0.074854
-1.530612,-1.530612,-1.527890,0.002722,0.070467,0.070519
-1.408163,-1.408163,-1.408060,0.000104,0.066668,0.066668
-1.285714,-1.285714,-1.288232,-0.002518,0.062381,0.062431
-1.163265,-1.163265,-1.167932,-0.004667,0.058021,0.058209
-1.040816,-1.040816,-1.047808,-0.006992,0.053550,0.054004
-0.918367,-0.918367,-0.927009,-0.008642,0.048783,0.049542
-0.795918,-0.795918,-0.805857,-0.009939,0.043914,0.045025
-0.673469,-0.673469,-0.683868,-0.010399,0.038256,0.039644
-0.551020,-0.551020,-0.561036,-0.010016,0.032586,0.034090
-0.428571,-0.428571,-0.438237,-0.009666,0.026598,0.028300
-0.306122,-0.306122,-0.314574,-0.008451,0.019936,0.021654
-0.183673,-0.183673,-0.189619,-0.005945,0.012899,0.014203
-0.061224,-0.061224,-0.063460,-0.002235,0.005551,0.005984
0.061224,0.061224,0.063327,0.002102,0.005642,0.006021
0.183673,0.183673,0.189605,0.005931,0.013212,0.014482
0.306122,0.306122,0.314567,0.008444,0.020394,0.022073
0.428571,0.428571,0.438465,0.009894,0.027590,0.029311
0.551020,0.551020,0.561335,0.010315,0.034159,0.035682
0.673469,0.673469,0.683731,0.010262,0.040361,0.041645
0.795918,0.795918,0.805720,0.009801,0.046039,0.047071
0.918367,0.918367,0.927092,0.008724,0.051329,0.052065
1.040816,1.040816,1.047899,0.007083,0.056360,0.056804
1.163265,1.163265,1.168365,0.005099,0.060947,0.061160
1.285714,1.285714,1.288743,0.003028,0.065363,0.065433
1.408163,1.408163,1.408742,0.000579,0.069398,0.069401
1.530612,1.530612,1.528927,-0.001686,0.073599,0.073619
1.653061,1.653061,1.649281,-0.003780,0.077395,0.077488
1.775510,1.775510,1.769638,-0.005872,0.081590,0.081801
1.897959,1.897959,1.890154,-0.007805,0.085594,0.085949
2.020408,2.020408,2.010388,-0.010020,0.090236,0.090791
2.142857,2.142857,2.131029,-0.011828,0.095122,0.095854
2.265306,2.265306,2.252481,-0.012826,0.100948,0.101760
2.387755,2.387755,2.373792,-0.013963,0.107083,0.107989
2.510204,2.510204,2.494848,-0.015356,0.113819,0.114850
2.632653,2.632653,2.616495,-0.016158,0.121923,0.122989
2.755102,2.755102,2.738404,-0.016698,0.130242,0.131308
2.877551,2.877551,2.860069,-0.017482,0.139327,0.140420
3.000000,3.000000,2.980860,-0.019140,0.146546,0.147791
