y,lambda_true,mean_hat,bias,sd,rmse
-2.178000,-2.997381,-2.817140,0.180241,0.184694,0.258067
-2.089102,-2.508971,-2.483296,0.025674,0.166581,0.168548
-2.000204,-2.100082,-2.106887,-0.006805,0.146132,0.146290
-1.911306,-1.757755,-1.763243,-0.005488,0.126059,0.126178
-1.822408,-1.471139,-1.476933,-0.005794,0.111285,0.111436
-1.733510,-1.231151,-1.240865,-0.009714,0.098328,0.098807
-1.644612,-1.030184,-1.039800,-0.009617,0.089638,0.090153
-1.555714,-0.861868,-0.869283,-0.007415,0.082047,0.082382
-1.466816,-0.720869,-0.728641,-0.007772,0.072830,0.073244
-1.377918,-0.602717,-0.610835,-0.008118,0.067706,0.068191
-1.289020,-0.503669,-0.509197,-0.005528,0.062203,0.062448
-1.200122,-0.420584,-0.425675,-0.005092,0.056176,0.056406
-1.111224,-0.350829,-0.354854,-0.004024,0.051440,0.051597
-1.022327,-0.292194,-0.296087,-0.003892,0.048366,0.048522
-0.933429,-0.242820,-0.246495,-0.003675,0.045137,0.045286
-0.844531,-0.201142,-0.203574,-0.002432,0.041967,0.042038
-0.755633,-0.165840,-0.167544,-0.001704,0.038967,0.039005
-0.666735,-0.135793,-0.137622,-0.001829,0.035494,0.035541
-0.577837,-0.110051,-0.111453,-0.001403,0.031849,0.031880
-0.488939,-0.087796,-0.088646,-0.000850,0.029352,0.029364
-0.400041,-0.068324,-0.069102,-0.000778,0.025807,0.025819
-0.311143,-0.051018,-0.051610,-0.000592,0.022325,0.022333
-0.222245,-0.035329,-0.036159,-0.000830,0.018947,0.018966
-0.133347,-0.020759,-0.021652,-0.000893,0.014262,0.014290
-0.044449,-0.006847,-0.007314,-0.000467,0.008699,0.008712
0.044449,0.006847,0.007189,0.000342,0.009012,0.009018
0.133347,0.020759,0.020944,0.000185,0.014074,0.014075
0.222245,0.035329,0.035227,-0.000102,0.018214,0.018214
0.311143,0.051018,0.050846,-0.000172,0.020959,0.020960
0.400041,0.068324,0.068071,-0.000253,0.025277,0.025279
0.488939,0.087796,0.088226,0.000430,0.028237,0.028240
0.577837,0.110051,0.109690,-0.000360,0.031391,0.031393
0.666735,0.135793,0.135161,-0.000633,0.034690,0.034696
0.755633,0.165840,0.165129,-0.000710,0.038459,0.038465
0.844531,0.201142,0.200069,-0.001073,0.041478,0.041492
0.933429,0.242820,0.242258,-0.000563,0.045617,0.045621
1.022327,0.292194,0.291876,-0.000318,0.048213,0.048214
1.111224,0.350829,0.351337,0.000508,0.051621,0.051624
1.200122,0.420584,0.422507,0.001923,0.055314,0.055347
1.289020,0.503669,0.506164,0.002495,0.059773,0.059825
1.377918,0.602717,0.606175,0.003458,0.065633,0.065724
1.466816,0.720869,0.724141,0.003273,0.070668,0.070744
1.555714,0.861868,0.866787,0.004920,0.075674,0.075834
1.644612,1.030184,1.036452,0.006268,0.084669,0.084901
1.733510,1.231151,1.235634,0.004483,0.092456,0.092565
1.822408,1.471139,1.476200,0.005061,0.105503,0.105625
1.911306,1.757755,1.767910,0.010155,0.119348,0.119779
2.000204,2.100082,2.113208,0.013126,0.141826,0.142432
2.089102,2.508971,2.493810,-0.015160,0.163113,0.163816
2.178000,2.997381,2.824643,-0.172738,0.176199,0.246748
