x,F_hat
-965.535568,0.001000
-941.397179,0.001000
-917.258790,0.001000
-893.120401,0.001000
-868.982012,0.001000
-844.843622,0.001000
-820.705233,0.001000
-796.566844,0.001598
-772.428455,0.001598
-748.290065,0.001598
-724.151676,0.004365
-700.013287,0.004365
-675.874898,0.008336
-651.736509,0.008336
-627.598119,0.008336
-603.459730,0.015818
-579.321341,0.015818
-555.182952,0.025799
-531.044563,0.025799
-506.906173,0.025799
-482.767784,0.042419
-458.629395,0.042419
-434.491006,0.059480
-410.352617,0.059480
-386.214227,0.059480
-362.075838,0.084429
-337.937449,0.084429
-313.799060,0.130152
-289.660670,0.130152
-265.522281,0.183023
-241.383892,0.183023
-217.245503,0.183023
-193.107114,0.253012
-168.968724,0.253012
-144.830335,0.336096
-120.691946,0.336096
-96.553557,0.336096
-72.415168,0.424444
-48.276778,0.424444
-24.138389,0.509532
0.000000,0.509532
24.138389,0.511438
48.276778,0.587950
72.415168,0.587950
96.553557,0.660268
120.691946,0.660268
144.830335,0.660268
168.968724,0.738774
193.107114,0.738774
217.245503,0.785705
241.383892,0.785705
265.522281,0.785705
289.660670,0.830200
313.799060,0.830200
337.937449,0.867882
362.075838,0.867882
386.214227,0.889422
410.352617,0.889422
434.491006,0.889422
458.629395,0.912455
482.767784,0.912455
506.906173,0.927220
531.044563,0.927220
555.182952,0.927220
579.321341,0.936547
603.459730,0.936547
627.598119,0.942854
651.736509,0.942854
675.874898,0.942854
700.013287,0.950468
724.151676,0.950468
748.290065,0.960024
772.428455,0.960024
796.566844,0.960024
820.705233,0.968442
844.843622,0.968442
868.982012,0.972658
893.120401,0.972658
917.258790,0.972658
941.397179,0.977289
965.535568,0.977289
989.673958,0.981247
1013.812347,0.981247
1037.950736,0.981247
1062.089125,0.982491
1086.227514,0.982491
1110.365904,0.983500
1134.504293,0.983500
1158.642682,0.984232
1182.781071,0.984232
1206.919460,0.984232
1231.057850,0.989676
1255.196239,0.989676
1279.334628,0.994242
1303.473017,0.994242
1327.611406,0.994242
1351.749796,0.994242
1375.888185,0.994242
1400.026574,0.995018
1424.164963,0.995018
