y,chen,ye_duan,engression,log,sqrt,identity
483.000000,-1218.689328,-1250.906900,-1346.920225,-1091.339890,-963.016654,-837.619241
493.227848,-1168.008913,-1198.500952,-1278.342923,-1046.680568,-928.256600,-811.095890
503.455696,-1108.884984,-1151.669726,-1181.041099,-1002.937888,-893.855118,-784.572539
513.683544,-1052.177401,-1104.535230,-1117.133280,-960.074977,-859.801335,-758.049188
523.911392,-999.183407,-1076.563958,-1054.999660,-918.057144,-826.084916,-731.525837
534.139241,-945.019540,-1030.097128,-1002.802562,-876.851708,-792.696030,-705.002486
544.367089,-898.932293,-984.536817,-947.574501,-836.427851,-759.625313,-678.479135
554.594937,-860.421494,-948.288307,-893.336839,-796.756473,-726.863839,-651.955784
564.822785,-822.346074,-907.557752,-836.340034,-757.810072,-694.403090,-625.432433
575.050633,-767.409667,-852.664594,-787.076425,-719.562624,-662.234937,-598.909082
585.278481,-740.569078,-819.714934,-745.105721,-681.989484,-630.351604,-572.385731
595.506329,-702.952691,-790.171758,-706.742107,-645.067287,-598.745660,-545.862380
605.734177,-669.816679,-744.365105,-668.251413,-608.773862,-567.409986,-519.339029
615.962025,-632.814029,-713.995440,-618.323824,-573.088151,-536.337767,-492.815678
626.189873,-585.765170,-625.512663,-579.151571,-537.990137,-505.522466,-466.292327
636.417722,-546.927837,-574.862646,-556.079349,-503.460777,-474.957815,-439.768976
646.645570,-512.433322,-537.253592,-530.888767,-469.481937,-444.637795,-413.245625
656.873418,-473.106788,-507.142290,-492.886995,-436.036337,-414.556623,-386.722274
667.101266,-431.091704,-454.181207,-453.342350,-403.107501,-384.708744,-360.198924
677.329114,-403.073363,-425.310572,-416.313855,-370.679700,-355.088812,-333.675573
687.556962,-365.870757,-382.862851,-388.445185,-338.737917,-325.691682,-307.152222
697.784810,-331.024854,-343.916178,-357.881980,-307.267798,-296.512402,-280.628871
708.012658,-296.063593,-302.950166,-319.044306,-276.255615,-267.546198,-254.105520
718.240506,-261.954748,-266.523024,-285.531798,-245.688232,-238.788471,-227.582169
728.468354,-227.884345,-239.833584,-252.529686,-215.553070,-210.234782,-201.058818
738.696203,-197.048803,-215.659353,-201.755645,-185.838077,-181.880849,-174.535467
748.924051,-166.308193,-175.953554,-169.538114,-156.531696,-153.722538,-148.012116
759.151899,-136.172437,-165.330194,-138.427555,-127.622842,-125.755854,-121.488765
769.379747,-106.842647,-123.824230,-106.305908,-99.100875,-97.976938,-94.965414
779.607595,-73.706635,-80.044306,-74.552111,-70.955575,-70.382058,-68.442063
789.835443,-48.522626,-49.543779,-43.431176,-43.177124,-42.967604,-41.918712
800.063291,-17.401954,-10.489841,-15.132881,-15.756082,-15.730082,-15.395361
810.291139,15.417771,11.879855,10.938266,11.316632,11.333890,11.127990
820.518987,38.822249,42.463633,39.712625,38.049757,38.227588,37.651341
830.746835,72.576449,68.132738,72.541415,64.451706,64.954185,64.174692
840.974684,91.864244,102.472856,98.396040,90.530585,91.516758,90.698043
851.202532,126.425723,131.432294,121.050805,116.294204,117.918291,117.221394
861.430380,152.556051,141.192683,145.031148,141.750096,144.161678,143.744745
871.658228,175.762590,161.210627,174.281773,166.905523,170.249726,170.268096
881.886076,206.133699,196.671185,201.901372,191.767498,196.185162,196.791447
892.113924,235.327734,213.281159,225.257428,216.342786,221.970633,223.314798
902.341772,254.830819,244.906382,248.613484,240.637926,247.608712,249.838149
912.569620,276.753342,236.722027,267.305683,264.659231,273.101897,276.361500
922.797468,304.466746,272.390645,285.281094,288.412806,298.452617,302.884851
933.025316,327.485087,300.079073,303.256505,311.904554,323.663234,329.408202
943.253165,343.635927,330.095046,325.401331,335.140183,348.736046,355.931553
953.481013,363.708090,401.864977,349.045565,358.125218,373.673288,382.454904
963.708861,385.444276,410.334118,370.796049,380.865006,398.477136,408.978255
973.936709,402.127185,424.070571,389.105108,403.364727,423.149708,435.501606
984.164557,422.446927,415.389620,407.414167,425.629395,447.693066,462.024957
994.392405,447.115360,447.734296,424.749455,447.663872,472.109220,488.548308
1004.620253,461.710147,468.466010,439.589833,469.472868,496.400127,515.071659
1014.848101,476.937607,533.827685,454.430211,491.060952,520.567695,541.595009
1025.075949,494.719918,553.825949,469.270589,512.432554,544.613784,568.118360
1035.303797,515.037881,591.278836,485.947345,533.591972,568.540207,594.641711
1045.531646,527.287770,606.140754,504.551080,554.543379,592.348734,621.165062
1055.759494,551.956203,666.471785,523.154815,575.290824,616.041090,647.688413
